cnnaff,Smiles
4.17996,[H]c1c([C@](OC([H])([H])[H])(N(C([H])([H])[H])C([H])([H])[H])N([H])C([H])([H])Cl)c([H])n(SC(F)(F)F)c(=O)c1[H]
4.72917,[H]ON([H])C(=O)C(=C([H])c1c([H])c(F)c(=O)n([H])c1[H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])C([H])([H])[H]
4.72565,[H]c1c([H])c(Cl)c([H])c(C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c1[H]
4.19924,[H]c1c(SC([H])(C(=O)OC([H])([H])[H])C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c(=O)n([H])c1[H]
5.16699,[H]c1c([H])c([H])c(C([H])([H])C(=O)N([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2[H])c([H])c1[H]
3.69728,[H]c1c(C([H])([H])N([H])C([H])([H])OC([H])([H])C2([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])n([H])c(=O)c1[H]
5.17191,[H]c1oc(OC(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C(F)(F)F)c(-n2c([H])c([H])c([H])c([H])c2=O)c1[H]
4.46676,[H]ON(C(=O)C([H])=C([H])c1c([H])c(C(=O)C([H])([H])[H])c(=O)n([H])c1[H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
3.69845,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
4.22406,[H]N=C(c1c([H])c([H])n([H])c(=O)c1[C@@]1([H])C([H])([H])[C@]1([H])N([H])C([H])([H])C([H])([H])O[H])N([H])[H]
4.45345,[H]c1oc([H])c(-n2c([H])c([H])c(C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2=O)c1[H]
5.61281,[H]Sc1c(N2C([H])([H])C([H])([H])[C@@]2([H])c2nc3c([H])c([H])c([H])c([H])c3c([H])c2[H])c([H])n([H])c(=O)c1[H]
5.17891,[H]c1c(C(=O)N(Br)[C@](C(=O)OC([H])([H])C([H])([H])[H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])n([H])c(=O)c1[H]
3.25793,[H]c1c(C([H])([H])N([H])C([H])([H])[H])c([H])n([H])c(=O)c1[H]
